raw_title,normalized_title,category
Sr SWE,Senior Software Engineer,Technology
SDE,Software Development Engineer,Technology
Sr Software Engineer,Senior Software Engineer,Technology
Software Engineer,Software Engineer,Technology
Senior Developer,Senior Software Developer,Technology
Dev Engineer,Development Engineer,Technology
Full Stack Developer,Full Stack Developer,Technology
Frontend Developer,Frontend Developer,Technology
Backend Developer,Backend Developer,Technology
Data Engineer,Data Engineer,Technology
Senior Data Engineer,Senior Data Engineer,Technology
ML Engineer,Machine Learning Engineer,Technology
AI Engineer,Artificial Intelligence Engineer,Technology
DevOps Engineer,DevOps Engineer,Technology
Cloud Engineer,Cloud Engineer,Technology
Security Engineer,Security Engineer,Technology
QA Engineer,Quality Assurance Engineer,Technology
Test Engineer,Test Engineer,Technology
Product Manager,Product Manager,Business
Senior Product Manager,Senior Product Manager,Business
Engineering Manager,Engineering Manager,Business
CTO,Chief Technology Officer,Executive
CEO,Chief Executive Officer,Executive
CFO,Chief Financial Officer,Executive
COO,Chief Operating Officer,Executive
VP, Vice President,Executive
Director,Director,Management
Senior Director,Senior Director,Management
Manager,Manager,Management
Team Lead,Team Lead,Management
Lead Developer,Lead Developer,Technology
Tech Lead,Technical Lead,Technology
Architect,Software Architect,Technology
Senior Architect,Senior Software Architect,Technology
Solutions Architect,Solutions Architect,Technology
Business Analyst,Business Analyst,Business
Data Analyst,Data Analyst,Business
Senior Analyst,Senior Analyst,Business
Consultant,Consultant,Business
Senior Consultant,Senior Consultant,Business
Project Manager,Project Manager,Business
Program Manager,Program Manager,Business
Scrum Master,Scrum Master,Business
Agile Coach,Agile Coach,Business
UX Designer,UX Designer,Design
UI Designer,UI Designer,Design
Product Designer,Product Designer,Design
Senior Designer,Senior Designer,Design
Design Lead,Design Lead,Design
Marketing Manager,Marketing Manager,Marketing
Digital Marketing Manager,Digital Marketing Manager,Marketing
Content Manager,Content Manager,Marketing
Sales Manager,Sales Manager,Sales
Account Manager,Account Manager,Sales
Business Development Manager,Business Development Manager,Sales
Sales Engineer,Sales Engineer,Sales
Pre-sales Engineer,Pre-sales Engineer,Sales
Customer Success Manager,Customer Success Manager,Service
Support Engineer,Support Engineer,Service
Technical Support,Technical Support,Service
HR Manager,HR Manager,Human Resources
Recruiter,Recruiter,Human Resources
Senior Recruiter,Senior Recruiter,Human Resources
Talent Acquisition,Talent Acquisition,Human Resources
Finance Manager,Finance Manager,Finance
Financial Analyst,Financial Analyst,Finance
Accountant,Accountant,Finance
Senior Accountant,Senior Accountant,Finance
Operations Manager,Operations Manager,Operations
Supply Chain Manager,Supply Chain Manager,Operations
Logistics Manager,Logistics Manager,Operations
Research Scientist,Research Scientist,Research
Senior Research Scientist,Senior Research Scientist,Research
Data Scientist,Data Scientist,Research
Senior Data Scientist,Senior Data Scientist,Research
Research Engineer,Research Engineer,Research
Professor,Professor,Education
Associate Professor,Associate Professor,Education
Assistant Professor,Assistant Professor,Education
Teacher,Teacher,Education
Senior Teacher,Senior Teacher,Education
Instructor,Instructor,Education
Trainer,Trainer,Education
Lawyer,Lawyer,Legal
Attorney,Attorney,Legal
Legal Counsel,Legal Counsel,Legal
Doctor,Doctor,Healthcare
Physician,Physician,Healthcare
Surgeon,Surgeon,Healthcare
Nurse,Nurse,Healthcare
Registered Nurse,Registered Nurse,Healthcare
Medical Assistant,Medical Assistant,Healthcare
Pharmacist,Pharmacist,Healthcare
Physical Therapist,Physical Therapist,Healthcare
Occupational Therapist,Occupational Therapist,Healthcare
Dentist,Dentist,Healthcare
Veterinarian,Veterinarian,Healthcare
Psychologist,Psychologist,Healthcare
Therapist,Therapist,Healthcare
Social Worker,Social Worker,Healthcare
Artist,Artist,Creative
Designer,Designer,Creative
Writer,Writer,Creative
Author,Author,Creative
Journalist,Journalist,Creative
Photographer,Photographer,Creative
Videographer,Videographer,Creative
Editor,Editor,Creative
Content Creator,Content Creator,Creative
Graphic Designer,Graphic Designer,Creative
Web Designer,Web Designer,Creative
Mobile Developer,Mobile Developer,Technology
iOS Developer,iOS Developer,Technology
Android Developer,Android Developer,Technology
React Developer,React Developer,Technology
Angular Developer,Angular Developer,Technology
Vue Developer,Vue Developer,Technology
Node.js Developer,Node.js Developer,Technology
Python Developer,Python Developer,Technology
Java Developer,Java Developer,Technology
C++ Developer,C++ Developer,Technology
C# Developer,C# Developer,Technology
PHP Developer,PHP Developer,Technology
Ruby Developer,Ruby Developer,Technology
Go Developer,Go Developer,Technology
Rust Developer,Rust Developer,Technology
Kotlin Developer,Kotlin Developer,Technology
Swift Developer,Swift Developer,Technology
Database Administrator,Database Administrator,Technology
Senior DBA,Senior Database Administrator,Technology
Network Engineer,Network Engineer,Technology
System Administrator,System Administrator,Technology
SysAdmin,System Administrator,Technology
IT Manager,IT Manager,Technology
IT Support,IT Support,Technology
Help Desk,Help Desk,Technology
Desktop Support,Desktop Support,Technology
Network Admin,Network Administrator,Technology
Security Analyst,Security Analyst,Technology
Cybersecurity Analyst,Cybersecurity Analyst,Technology
Information Security,Information Security,Technology
Penetration Tester,Penetration Tester,Technology
Ethical Hacker,Ethical Hacker,Technology
Compliance Officer,Compliance Officer,Legal
Risk Manager,Risk Manager,Finance
Audit Manager,Audit Manager,Finance
Internal Auditor,Internal Auditor,Finance
External Auditor,External Auditor,Finance
Tax Manager,Tax Manager,Finance
Tax Analyst,Tax Analyst,Finance
Bookkeeper,Bookkeeper,Finance
Payroll Specialist,Payroll Specialist,Finance
Benefits Specialist,Benefits Specialist,Human Resources
Compensation Analyst,Compensation Analyst,Human Resources
Training Manager,Training Manager,Human Resources
Learning and Development,Learning and Development,Human Resources
L&D Specialist,L&D Specialist,Human Resources
Organizational Development,Organizational Development,Human Resources
HR Generalist,HR Generalist,Human Resources
HR Business Partner,HR Business Partner,Human Resources
Talent Manager,Talent Manager,Human Resources
People Manager,People Manager,Human Resources
Culture Manager,Culture Manager,Human Resources
Employee Engagement,Employee Engagement,Human Resources
Performance Manager,Performance Manager,Human Resources
Learning Manager,Learning Manager,Human Resources
Development Manager,Development Manager,Human Resources
Career Coach,Career Coach,Human Resources
Executive Coach,Executive Coach,Human Resources
Life Coach,Life Coach,Service
Career Counselor,Career Counselor,Service
Advisor,Advisor,Service
Specialist,Specialist,General
Coordinator,Coordinator,General
Associate,Associate,General
Assistant,Assistant,General
Intern,Intern,General
Trainee,Trainee,General
Apprentice,Apprentice,General
Junior,Junior,General
Senior,Senior,General
Lead,Lead,General
Head,Head,General
Chief,Chief,General
Principal,Principal,General
Staff,Staff,General
Fellow,Fellow,General
Member,Member,General
Partner,Partner,General
Owner,Owner,General
Founder,Founder,General
Co-founder,Co-founder,General
President,President,General
Vice President,Vice President,General
Executive,Executive,General
Administrator,Administrator,General
Coordinator,Coordinator,General
Planner,Planner,General
Scheduler,Scheduler,General
Dispatcher,Dispatcher,General
Operator,Operator,General
Technician,Technician,General
Mechanic,Mechanic,General
Electrician,Electrician,General
Plumber,Plumber,General
Carpenter,Carpenter,General
Welder,Welder,General
Painter,Painter,General
Cleaner,Cleaner,General
Janitor,Janitor,General
Maintenance,Maintenance,General
Facilities,Facilities,General
Groundskeeper,Groundskeeper,General
Landscaper,Landscaper,General
Gardener,Gardener,General
Driver,Driver,General
Delivery Driver,Delivery Driver,General
Truck Driver,Truck Driver,General
Bus Driver,Bus Driver,General
Taxi Driver,Taxi Driver,General
Chauffeur,Chauffeur,General
Pilot,Pilot,General
Flight Attendant,Flight Attendant,General
Air Traffic Controller,Air Traffic Controller,General
Flight Engineer,Flight Engineer,General
Aircraft Mechanic,Aircraft Mechanic,General
Aviation Technician,Aviation Technician,General
Airport Manager,Airport Manager,General
Travel Agent,Travel Agent,General
Tour Guide,Tour Guide,General
Hotel Manager,Hotel Manager,General
Front Desk,Front Desk,General
Concierge,Concierge,General
Housekeeping,Housekeeping,General
Chef,Chef,General
Cook,Cook,General
Baker,Baker,General
Barista,Barista,General
Server,Server,General
Waiter,Waiter,General
Waitress,Waitress,General
Host,Host,General
Hostess,Hostess,General
