text,category
Built UI using React,frontend
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
Built UI using React,frontend
Built UI using React,frontend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Optimized SQL queries,database
Deployed applications on AWS,devops
Built UI using React,frontend
Built UI using React,frontend
Optimized SQL queries,database
Built UI using React,frontend
Deployed applications on AWS,devops
Optimized SQL queries,database
Deployed applications on AWS,devops
Optimized SQL queries,database
Deployed applications on AWS,devops
Optimized SQL queries,database
Built UI using React,frontend
Optimized SQL queries,database
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Optimized SQL queries,database
Built UI using React,frontend
Optimized SQL queries,database
Built UI using React,frontend
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
Optimized SQL queries,database
Optimized SQL queries,database
Optimized SQL queries,database
Deployed applications on AWS,devops
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Optimized SQL queries,database
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Built UI using React,frontend
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Deployed applications on AWS,devops
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Built UI using React,frontend
Built UI using React,frontend
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Optimized SQL queries,database
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Optimized SQL queries,database
Deployed applications on AWS,devops
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Optimized SQL queries,database
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
Built UI using React,frontend
Deployed applications on AWS,devops
Optimized SQL queries,database
Built UI using React,frontend
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Optimized SQL queries,database
Deployed applications on AWS,devops
Built UI using React,frontend
Deployed applications on AWS,devops
Optimized SQL queries,database
Built UI using React,frontend
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Built UI using React,frontend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Built UI using React,frontend
Built UI using React,frontend
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Built UI using React,frontend
Built UI using React,frontend
Built UI using React,frontend
Deployed applications on AWS,devops
Optimized SQL queries,database
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Optimized SQL queries,database
Deployed applications on AWS,devops
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Optimized SQL queries,database
Built UI using React,frontend
Developed REST APIs using Spring Boot,backend
Built UI using React,frontend
Built UI using React,frontend
Optimized SQL queries,database
Deployed applications on AWS,devops
Deployed applications on AWS,devops
Built UI using React,frontend
Optimized SQL queries,database
