raw_title,normalized_title,category
Senior Data Analyst,Senior Data Analyst,Business
Sr Data Analyst,Senior Data Analyst,Business
Principal Data Analyst,Principal Data Analyst,Business
Data Analyst,Data Analyst,Business
Business Data Analyst,Business Data Analyst,Business
Data Analytics Manager,Data Analytics Manager,Business
Senior Java Developer,Senior Java Developer,Technology
Sr Java Developer,Senior Java Developer,Technology
Java Developer,Java Developer,Technology
Java Full Stack Developer,Java Full Stack Developer,Technology
Java Backend Developer,Java Backend Developer,Technology
Senior Software Engineer,Senior Software Engineer,Technology
Sr Software Engineer,Senior Software Engineer,Technology
Software Engineer,Software Engineer,Technology
Full Stack Software Engineer,Full Stack Software Engineer,Technology
Software Development Engineer,Software Development Engineer,Technology
Machine Learning Engineer,Machine Learning Engineer,Research
ML Engineer,ML Engineer,Research
Senior ML Engineer,Senior ML Engineer,Research
Sr ML Engineer,Senior ML Engineer,Research
Machine Learning Developer,Machine Learning Developer,Research
ML Developer,ML Developer,Research
DevOps Engineer,DevOps Engineer,Technology
Senior DevOps Engineer,Senior DevOps Engineer,Technology
DevOps Specialist,DevOps Specialist,Technology
DevOps Architect,DevOps Architect,Technology
Cloud DevOps Engineer,Cloud DevOps Engineer,Technology
Data Scientist,Data Scientist,Research
Senior Data Scientist,Senior Data Scientist,Research
Sr Data Scientist,Senior Data Scientist,Research
Principal Data Scientist,Principal Data Scientist,Research
Lead Data Scientist,Lead Data Scientist,Research
Business Analyst,Business Analyst,Business
Senior Business Analyst,Senior Business Analyst,Business
Sr Business Analyst,Senior Business Analyst,Business
Principal Business Analyst,Principal Business Analyst,Business
Business Systems Analyst,Business Systems Analyst,Business
Product Manager,Product Manager,Business
Senior Product Manager,Senior Product Manager,Business
Principal Product Manager,Principal Product Manager,Business
Lead Product Manager,Lead Product Manager,Business
Associate Product Manager,Associate Product Manager,Business
Project Manager,Project Manager,Business
Senior Project Manager,Senior Project Manager,Business
Technical Project Manager,Technical Project Manager,Business
IT Project Manager,IT Project Manager,Business
Technical Lead,Technical Lead,Technology
Senior Technical Lead,Senior Technical Lead,Technology
Lead Technical Architect,Lead Technical Architect,Technology
Principal Technical Lead,Principal Technical Lead,Technology
Solutions Architect,Solutions Architect,Technology
Senior Solutions Architect,Senior Solutions Architect,Technology
Cloud Solutions Architect,Cloud Solutions Architect,Technology
Enterprise Architect,Enterprise Architect,Technology
Technical Architect,Technical Architect,Technology
Cloud Architect,Cloud Architect,Technology
Senior Cloud Architect,Senior Cloud Architect,Technology
AWS Cloud Architect,AWS Cloud Architect,Technology
Azure Cloud Architect,Azure Cloud Architect,Technology
GCP Cloud Architect,GCP Cloud Architect,Technology
Security Engineer,Security Engineer,Technology
Senior Security Engineer,Senior Security Engineer,Technology
Cybersecurity Engineer,Cybersecurity Engineer,Technology
Information Security Engineer,Information Security Engineer,Technology
Application Security Engineer,Application Security Engineer,Technology
QA Engineer,QA Engineer,Technology
Senior QA Engineer,Senior QA Engineer,Technology
Quality Assurance Engineer,Quality Assurance Engineer,Technology
Test Engineer,Test Engineer,Technology
Automation Engineer,Automation Engineer,Technology
Backend Developer,Backend Developer,Technology
Senior Backend Developer,Senior Backend Developer,Technology
Backend Software Engineer,Backend Software Engineer,Technology
API Developer,API Developer,Technology
Frontend Developer,Frontend Developer,Technology
Senior Frontend Developer,Senior Frontend Developer,Technology
Frontend Software Engineer,Frontend Software Engineer,Technology
UI Developer,UI Developer,Technology
UX Developer,UX Developer,Technology
Data Engineer,Data Engineer,Technology
Senior Data Engineer,Senior Data Engineer,Technology
Big Data Engineer,Big Data Engineer,Technology
Data Pipeline Engineer,Data Pipeline Engineer,Technology
Data Platform Engineer,Data Platform Engineer,Technology
Junior Developer,Junior Developer,Technology
Junior Software Engineer,Junior Software Engineer,Technology
Junior Data Analyst,Junior Data Analyst,Business
Entry Level Developer,Entry Level Developer,Technology
Associate Developer,Associate Developer,Technology
Associate Engineer,Associate Engineer,Technology
Mobile Developer,Mobile Developer,Technology
iOS Developer,iOS Developer,Technology
Android Developer,Android Developer,Technology
React Native Developer,React Native Developer,Technology
Flutter Developer,Flutter Developer,Technology
Database Administrator,Database Administrator,Technology
Senior Database Administrator,Senior Database Administrator,Technology
Database Engineer,Database Engineer,Technology
Data Warehouse Engineer,Data Warehouse Engineer,Technology
System Administrator,System Administrator,Technology
Senior System Administrator,Senior System Administrator,Technology
Infrastructure Engineer,Infrastructure Engineer,Technology
Platform Engineer,Platform Engineer,Technology
Network Engineer,Network Engineer,Technology
Senior Network Engineer,Senior Network Engineer,Technology
Network Administrator,Network Administrator,Technology
Cloud Network Engineer,Cloud Network Engineer,Technology
