raw_title,normalized_title,category
Trainer,Trainer,Certification
Java Full Stack Developer,Java Full Stack Developer,Technology
AWS Cloud Architect,AWS Cloud Architect,Technology
Security Engineer,Security Engineer,Technology
DevOps Architect,DevOps Architect,Technology
Information Security Engineer,Information Security Engineer,Technology
Android Developer,Android Developer,Technology
Lead Full Stack Engineer,Lead Full Stack Engineer,Technology
Research Analyst,Research Analyst,Research
Technical Lead,Technical Lead,Technology
Senior Frontend Developer,Senior Frontend Developer,Technology
Lead Machine Learning Engineer,Lead Machine Learning Engineer,Technology
Consultant,Consultant,Certification
Internal Auditor,Internal Auditor,Certification
Education Administrator,Education Administrator,Education
Lead Trainer,Lead Trainer,Certification
Data Analytics Manager,Data Analytics Manager,Business
AWS Cloud Engineer,AWS Cloud Engineer,Technology
AI Engineer,AI Engineer,Technology
Applied Scientist,Applied Scientist,Technology
API Developer,API Developer,Technology
Senior Network Engineer,Senior Network Engineer,Technology
React Frontend Developer,React Frontend Developer,Technology
Analytics Manager,Analytics Manager,Business
Frontend Software Engineer,Frontend Software Engineer,Technology
Senior Backend Engineer,Senior Backend Engineer,Technology
Full Stack Python Developer,Full Stack Python Developer,Technology
Senior Business Analyst,Senior Business Analyst,Business
Senior Training Manager,Senior Training Manager,Certification
Senior Director,Senior Director,Executive
Python Developer,Python Developer,Technology
Data Analyst,Data Analyst,Business
Data Pipeline Engineer,Data Pipeline Engineer,Technology
Chief Operating Officer,Chief Operating Officer,Executive
React Native Developer,React Native Developer,Technology
Infrastructure Engineer,Infrastructure Engineer,Technology
IT Project Manager,IT Project Manager,Business
ML Engineer,ML Engineer,Research
Junior Business Analyst,Junior Business Analyst,Business
Principal Java Developer,Principal Java Developer,Technology
Project Manager,Project Manager,Business
DevOps Specialist,DevOps Specialist,Technology
Junior Frontend Engineer,Junior Frontend Engineer,Technology
Market Researcher,Market Researcher,Research
Principal Consultant,Principal Consultant,Certification
Lead Security Engineer,Lead Security Engineer,Technology
Business Development Manager,Business Development Manager,Business
Sr Java Developer,Senior Java Developer,Technology
Researcher,Researcher,Education
UI Developer,UI Developer,Technology
Python Backend Developer,Python Backend Developer,Technology
Senior Research Engineer,Senior Research Engineer,Research
Junior Node.js Developer,Junior Node.js Developer,Technology
Junior Developer,Junior Developer,Technology
Senior Full Stack Engineer,Senior Full Stack Engineer,Technology
Senior HR Manager,Senior HR Manager,Business
Senior Technical Consultant,Senior Technical Consultant,Certification
Lead Business Analyst,Lead Business Analyst,Business
Junior Security Engineer,Junior Security Engineer,Technology
Senior Product Owner,Senior Product Owner,Business
Senior Account Manager,Senior Account Manager,Business
Junior Data Engineer,Junior Data Engineer,Technology
Junior JavaScript Developer,Junior JavaScript Developer,Technology
Junior Python Developer,Junior Python Developer,Technology
Academic Researcher,Academic Researcher,Research
Junior Research Scientist,Junior Research Scientist,Research
Business Intelligence Analyst,Business Intelligence Analyst,Business
UX Developer,UX Developer,Technology
Node.js Backend Developer,Node.js Backend Developer,Technology
GCP Cloud Architect,GCP Cloud Architect,Technology
Lead Java Developer,Lead Java Developer,Technology
Senior Java Developer,Senior Java Developer,Technology
Full Stack Engineer,Full Stack Engineer,Technology
Principal Data Scientist,Principal Data Scientist,Research
DevOps Engineer,DevOps Engineer,Technology
CFO,CFO,Executive
Senior Cloud Architect,Senior Cloud Architect,Technology
Junior DevOps Engineer,Junior DevOps Engineer,Technology
Junior Angular Developer,Junior Angular Developer,Technology
Technical Product Manager,Technical Product Manager,Business
Instructor,Instructor,Education
BI Analyst,BI Analyst,Business
Node.js Developer,Node.js Developer,Technology
Research Scientist,Research Scientist,Technology
Mobile Developer,Mobile Developer,Technology
Account Manager,Account Manager,Business
Senior QA Engineer,Senior QA Engineer,Technology
Python Web Developer,Python Web Developer,Technology
Principal Software Architect,Principal Software Architect,Technology
Senior Research Associate,Senior Research Associate,Research
Sr ML Engineer,Senior ML Engineer,Research
Lead Node.js Developer,Lead Node.js Developer,Technology
Data Engineer,Data Engineer,Technology
Senior Management Consultant,Senior Management Consultant,Certification
Senior Trainer,Senior Trainer,Certification
Backend Software Engineer,Backend Software Engineer,Technology
Software Development Engineer,Software Development Engineer,Technology
Java Backend Developer,Java Backend Developer,Technology
Assistant Professor,Assistant Professor,Education
Research Engineer,Research Engineer,Research
Database Engineer,Database Engineer,Technology
Test Engineer,Test Engineer,Technology
Senior Data Researcher,Senior Data Researcher,Research
Product Manager,Product Manager,Business
Machine Learning Engineer,Machine Learning Engineer,Research
Cloud Architect,Cloud Architect,Technology
Lead Cloud Engineer,Lead Cloud Engineer,Technology
Senior Teacher,Senior Teacher,Education
Quality Assurance Engineer,Quality Assurance Engineer,Technology
Principal Python Developer,Principal Python Developer,Technology
Automation Engineer,Automation Engineer,Technology
